j	n_j
1	424712847
2	56465313
3	26670037
4	15062330
5	9527896
6	6939502
7	5723584
8	5138018
9	4856701
10	4678631
11	4551774
12	4387649
13	4149697
14	3848196
15	3495629
16	3116891
17	2720879
18	2333239
19	1974055
20	1648704
21	1361368
22	1114108
23	914489
24	746156
25	607724
26	500822
27	410230
28	339543
29	283045
30	237244
31	200503
32	171701
33	147926
34	128376
35	111960
36	96980
37	85333
38	76558
39	68821
40	61713
41	55883
42	51107
43	46971
44	43338
45	39813
46	36542
47	34192
48	31769
49	30139
50	28327
51	26919
52	25844
53	24382
54	23679
55	22818
56	21854
57	21097
58	20382
59	19859
60	19447
61	18867
62	18032
63	17807
64	17050
65	16872
66	16565
67	16019
68	15693
69	15391
70	14742
71	14058
72	13306
73	12924
74	12416
75	11992
76	11243
77	10777
78	10271
79	9857
80	9317
81	8886
82	8540
83	7969
84	7862
85	7548
86	6982
87	6512
88	6328
89	5989
90	5680
91	5401
92	5161
93	5047
94	4810
95	4789
96	4549
97	4505
98	4285
99	4304
100	4175
101	4088
102	4006
103	3903
104	3843
105	3819
106	3822
107	3785
108	3745
109	3651
110	3662
111	3552
112	3640
113	3593
114	3625
115	3632
116	3430
117	3374
118	3298
119	3443
120	3474
121	3437
122	3452
123	3339
124	3342
125	3201
126	3200
127	3240
128	3120
129	3194
130	3110
131	3153
132	3127
133	3039
134	3140
135	3089
136	3124
137	3129
138	3117
139	3041
140	2985
141	2998
142	3092
143	3045
144	3109
145	3099
146	3125
147	3084
148	3263
149	3283
150	3223
151	3259
152	3194
153	3382
154	3332
155	3242
156	3251
157	3361
158	3438
159	3394
160	3409
161	3527
162	3365
163	3532
164	3464
165	3470
166	3591
167	3622
168	3684
169	3737
170	3737
171	3804
172	3862
173	3778
174	4048
175	3999
176	4054
177	4055
178	4150
179	4096
180	4337
181	4326
182	4405
183	4313
184	4359
185	4595
186	4491
187	4678
188	4805
189	4716
190	4915
191	5028
192	5102
193	5074
194	5375
195	5421
196	5671
197	5827
198	5615
199	5801
200	5922
201	5920
202	6120
203	6255
204	6286
205	6561
206	6657
207	6801
208	6889
209	7042
210	7138
211	7292
212	7193
213	7288
214	7619
215	7672
216	7878
217	7983
218	8073
219	8244
220	8198
221	8257
222	8321
223	8461
224	8508
225	8474
226	8739
227	8635
228	8708
229	8722
230	8933
231	8892
232	8879
233	8929
234	8981
235	8802
236	9065
237	8922
238	8905
239	9036
240	9061
241	9035
242	9316
243	9238
244	9267
245	9007
246	8987
247	9159
248	8950
249	9031
250	8881
251	8969
252	8846
253	8704
254	8841
255	8931
256	9058
257	8933
258	8638
259	9002
260	8913
261	9080
262	9044
263	9002
264	9020
265	9014
266	9102
267	9102
268	9011
269	8963
270	8969
271	8899
272	8871
273	8917
274	8860
275	8892
276	8813
277	8872
278	9040
279	9172
280	8734
281	9028
282	8915
283	8980
284	8964
285	8978
286	8907
287	8866
288	8958
289	9034
290	8982
291	8965
292	9042
293	9005
294	8855
295	9056
296	8979
297	9114
298	9143
299	9068
300	9310
301	9068
302	9165
303	9179
304	9116
305	9222
306	9163
307	9195
308	9160
309	9155
310	9197
311	9279
312	9429
313	9442
314	9031
315	9218
316	9251
317	9168
318	9236
319	9233
320	9265
321	9267
322	9042
323	9050
324	8995
325	9194
326	9099
327	9026
328	9079
329	9065
330	9020
331	8998
332	8718
333	8890
334	9004
335	8919
336	8806
337	8822
338	8938
339	8864
340	8955
341	8812
342	8776
343	8770
344	8821
345	8746
346	8927
347	8957
348	8753
349	8848
350	8899
351	8867
352	8657
353	8569
354	8687
355	8533
356	8629
357	8636
358	8307
359	8405
360	8350
361	8288
362	8345
363	8238
364	8046
365	7889
366	7733
367	7556
368	7458
369	7494
370	7376
371	7342
372	7271
373	7194
374	6927
375	6878
376	6744
377	6830
378	6690
379	6401
380	6318
381	6369
382	6330
383	6105
384	5829
385	5793
386	5637
387	5680
388	5440
389	5401
390	5338
391	5027
392	4918
393	5029
394	4827
395	4779
396	4724
397	4576
398	4616
399	4321
400	4311
401	4155
402	4064
403	3951
404	3857
405	3671
406	3647
407	3628
408	3418
409	3236
410	3069
411	3072
412	3090
413	2890
414	2823
415	2571
416	2593
417	2457
418	2462
419	2424
420	2203
421	2101
422	2026
423	2057
424	1833
425	1843
426	1801
427	1706
428	1656
429	1666
430	1580
431	1519
432	1450
433	1433
434	1322
435	1315
436	1196
437	1224
438	1189
439	1079
440	1037
441	980
442	980
443	884
444	901
445	859
446	770
447	757
448	781
449	767
450	723
451	671
452	653
453	604
454	601
455	560
456	482
457	524
458	504
459	504
460	487
461	457
462	480
463	453
464	427
465	394
466	390
467	363
468	347
469	348
470	324
471	336
472	296
473	292
474	323
475	309
476	302
477	293
478	284
479	294
480	300
481	288
482	291
483	298
484	321
485	283
486	325
487	307
488	284
489	297
490	298
491	278
492	281
493	279
494	306
495	271
496	248
497	289
498	277
499	265
500	255
501	245
502	230
503	264
504	250
505	283
506	277
507	257
508	240
509	244
510	260
511	250
512	247
513	246
514	245
515	235
516	257
517	222
518	287
519	271
520	228
