j	n_j
1	62342673
2	10134672
3	3693129
4	1726716
5	862116
6	446751
7	240710
8	135452
9	79888
10	48887
11	31591
12	21249
13	14826
14	10944
15	7964
16	6050
17	4758
18	3794
19	3101
20	2522
21	1973
22	1708
23	1447
24	1175
25	1007
26	880
27	833
28	671
29	639
30	488
31	536
32	443
33	386
34	336
35	318
36	298
37	252
38	231
39	211
40	197
41	189
42	162
43	153
44	137
45	179
46	131
47	106
48	143
49	89
50	110
51	121
52	91
53	103
54	78
55	96
56	86
57	76
58	78
59	69
60	65
61	71
62	64
63	47
64	54
65	57
66	60
67	54
68	45
69	40
70	47
71	36
72	35
73	36
74	34
75	41
76	36
77	37
78	32
79	25
80	21
81	37
82	26
83	30
84	20
85	20
86	30
87	30
88	27
89	25
90	17
91	16
92	14
93	19
94	16
95	20
96	19
97	21
98	17
99	14
100	14
101	22
102	17
103	16
104	16
105	18
106	11
107	16
108	14
109	23
110	15
111	17
112	16
113	11
114	16
115	12
116	11
117	9
118	10
119	14
120	15
121	12
122	5
123	13
124	13
125	10
126	12
127	9
128	9
129	7
130	6
131	6
132	5
133	6
134	9
135	8
136	4
137	8
138	7
139	6
140	6
141	2
142	7
143	3
144	6
145	5
146	6
147	6
148	5
149	8
150	4
151	4
152	4
153	2
154	2
155	4
156	4
157	6
158	3
159	4
160	2
161	3
162	5
163	1
164	1
165	6
166	8
167	3
168	1
169	2
170	3
171	3
172	5
174	3
175	3
176	5
177	1
178	3
179	5
180	1
181	6
182	4
183	6
184	4
185	4
186	1
187	3
188	1
189	5
190	3
191	1
192	3
194	1
195	5
196	5
197	1
198	2
199	3
200	6
201	4
202	2
205	2
206	2
207	3
208	2
209	1
210	4
212	3
213	3
214	3
215	2
216	3
219	5
220	2
221	4
223	2
224	2
225	2
226	2
229	1
230	1
231	2
232	1
234	1
235	3
236	2
237	2
238	2
239	3
240	1
241	2
243	2
244	2
245	1
246	3
247	1
249	2
250	1
251	1
252	1
254	1
255	1
256	1
257	2
260	2
262	2
263	3
267	1
268	1
269	2
270	1
271	1
272	3
274	2
276	2
277	1
278	3
279	1
281	3
285	2
286	2
289	1
290	1
291	1
292	1
298	1
299	1
300	1
305	2
306	1
308	2
309	1
311	1
314	2
316	1
317	3
318	1
319	1
324	1
325	1
326	1
329	1
332	1
335	3
336	1
337	1
338	1
342	2
343	1
346	1
347	2
348	1
349	1
354	2
355	1
356	1
359	1
363	1
364	1
365	1
367	1
368	2
369	4
371	1
376	1
377	1
378	2
382	1
384	3
389	1
391	1
393	1
394	1
396	1
399	3
407	1
410	1
412	1
414	1
418	1
422	2
425	1
429	1
432	1
435	1
436	1
437	1
439	1
445	1
455	2
456	1
458	1
459	1
464	1
467	1
469	1
476	1
477	1
483	1
487	1
493	1
496	1
497	1
500	1
503	2
512	1
516	2
518	1
537	1
539	1
547	1
552	1
567	1
575	1
578	1
587	1
604	1
617	1
626	1
629	1
634	1
639	1
641	1
650	1
655	1
657	1
659	1
668	1
674	1
684	1
696	1
723	1
743	1
751	2
769	1
789	1
804	1
821	1
865	1
876	1
893	1
897	1
914	1
928	1
931	1
934	1
957	1
970	1
1060	2
1062	1
1065	1
1091	1
1102	1
1120	1
1141	1
1273	1
1337	1
1347	1
1361	1
1374	1
1391	1
1499	1
1557	2
1757	1
1892	1
1927	1
2367	1
2497	1
2623	1
3558	1
