sample.size	distinct.reads
1	47879524
2	16751354
3	7193291
4	3552776
5	1935072
6	1120980
7	682786
8	430623
9	280089
10	186473
11	127529
12	89218
13	63197
14	45779
15	33644
16	25155
17	18760
18	14371
19	11048
20	8667
21	6758
22	5452
23	4632
24	3692
25	3068
26	2606
27	2174
28	1838
29	1697
30	1495
31	1395
32	1129
33	1065
34	966
35	909
36	858
37	784
38	708
39	665
40	660
41	633
42	583
43	549
44	485
45	445
46	489
47	448
48	430
49	374
50	367
51	352
52	342
53	316
54	359
55	300
56	269
57	264
58	243
59	260
60	237
61	228
62	218
63	220
64	219
65	189
66	180
67	186
68	165
69	182
70	169
71	193
72	164
73	136
74	129
75	116
76	116
77	121
78	128
79	119
80	112
81	115
82	88
83	101
84	89
85	93
86	97
87	86
88	89
89	77
90	90
91	68
92	70
93	54
94	69
95	69
96	69
97	39
98	59
99	46
100	50
101	52
102	46
103	40
104	46
105	40
106	42
107	31
108	31
109	30
110	29
111	35
112	23
113	35
114	30
115	20
116	27
117	26
118	16
119	21
120	19
121	23
122	22
123	17
124	16
125	24
126	16
127	23
128	18
129	15
130	18
131	12
132	13
133	18
134	18
135	23
136	15
137	7
138	10
139	10
140	12
141	11
142	8
143	16
144	11
145	6
146	12
147	7
148	5
149	8
150	5
151	8
152	6
153	7
154	9
155	13
156	10
157	8
158	8
159	4
160	6
161	6
162	7
163	7
164	3
165	6
166	6
167	5
168	2
169	5
170	7
171	4
172	5
173	2
174	5
175	5
176	1
177	4
178	4
179	4
180	4
181	2
182	2
183	3
184	8
185	4
186	3
187	5
188	3
189	5
190	4
191	2
192	3
193	4
194	2
195	3
196	1
197	3
198	7
199	4
200	3
201	2
202	7
203	5
204	2
205	3
206	1
207	6
208	3
209	3
210	2
211	4
212	2
213	2
214	2
215	1
217	4
218	3
220	1
221	3
222	1
223	3
224	1
226	2
228	2
229	1
230	3
231	2
232	2
234	2
235	2
236	1
237	2
238	3
239	1
240	3
241	1
242	1
243	2
245	1
246	2
247	1
248	2
250	1
251	1
252	2
253	1
254	1
255	2
256	2
257	1
259	1
261	2
264	4
265	1
266	3
267	2
269	2
275	2
276	3
278	3
279	1
280	1
281	5
282	3
283	2
284	1
285	1
286	2
287	1
289	1
290	2
291	2
292	3
293	1
294	1
295	1
299	1
302	1
304	2
305	2
307	1
312	1
313	2
314	2
315	1
317	3
319	1
322	1
325	1
326	1
327	1
329	1
334	2
335	1
336	1
340	2
343	1
344	1
345	1
350	2
353	1
354	1
358	1
360	1
362	1
363	2
365	1
369	1
374	1
376	1
378	1
385	1
387	1
394	1
406	1
421	1
437	1
449	1
